Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
199,1,0.03491881816952014,-0.07850842799849372,-0.10282577617713931,-0.16878158753330136,0.04066673037543466,4.409389231809337e-08,0.959333225530673,0.001698942759934911
199,2,0.03859216264802019,-0.24625042855939178,-0.059211097492642494,-0.058872593108334856,2.7261734069980834e-11,0.9999885016851221,1.1498287616296372e-05,0.0021299191186702157
219,1,0.03848005337140698,-0.2449767791700715,-0.01649286881162914,-0.12990000911338334,6.528542923503968e-10,0.9954383915383735,0.004561607808772105,0.002708354322755751
219,2,0.04600848064429052,-0.2645416149271533,0.043872577567261206,-0.22391616250239488,6.19469954243994e-11,0.9999957516670224,4.248271030532913e-06,0.0038893315153884305
239,1,0.03848015097730959,-0.28128261878215743,-0.05228969231877012,-0.14990710956415598,1.3473991826617286e-11,0.999994171511539,5.828474987014491e-06,0.0033367970424611725
239,2,0.04393162423966706,-0.05926752303365801,0.040025745213616085,-0.1069584112108849,0.00032595676163316037,1.7004776722863063e-11,0.999674043221362,0.003003351565368074
259,1,0.04535939101597098,-0.419898519552371,0.03414445963489701,0.02566710695667993,5.432216694340474e-13,0.9999999562147491,4.378470769169312e-08,0.003799878814426747
259,2,0.04692985423846521,-0.4759847883418079,0.06120658552285211,-0.028223494542873588,7.075101365154826e-21,0.9999999999999916,8.384216611165866e-15,0.0030077130083836254
279,1,0.04839144709741337,-0.5020378117389269,0.147183518800584,0.05276393418333689,4.6589610789925184e-31,1.0,3.759862765802139e-26,0.004002588528933133
279,2,0.043379245655055076,-0.47269260688784176,0.07302429954694165,-0.027220595991148306,4.929504917620222e-23,1.0,2.3834843316310257e-18,0.004722373398449986
299,1,0.06206231511241948,-0.5687916078589796,0.28104082415432385,-0.2533959204492541,1.473143033972611e-23,1.0,1.0674815347203615e-17,0.003243783220229159
299,2,0.05025682338825071,-0.579742702304419,0.27613976085963476,-0.14349928022805983,1.3379793531902394e-39,1.0,2.7775571919937127e-34,0.003932263692525494
319,1,0.05044108773210794,-0.49179003972923074,0.17674584791695994,-0.11665303673787668,3.491535672805928e-29,1.0,1.840471331280232e-25,0.00786476321952855
319,2,0.05567276526808819,-0.558767154367294,0.19218110976130504,-0.0866625455742111,3.8620216896673007e-31,1.0,7.706318972098864e-25,0.0031432581737729634
